,Nom,Nom prénom de la Directrice,Contacts,Adresse,Ville,EPCI,Structures de la parentalité,Activités
1,PIKAN,DURIZOT Claudy,pikanvh97119@gmail.com,"PIKAN
Route de Grande Rivière
97119 Vieux-Habitants",Vieux-Habitants,Grand Sud Caraïbe,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Numérique,Citoyenneté et cohésion sociale,Lutte contre les discriminations,,,
"
,AJTS,,ardenbleu@gmail.com,"AJTS
18 COUR TERRAIN SONIS
97139 Les Abymes",,,,
,AJTS,,blanfortanne@outlook.fr,"AJTS
18 COUR TERRAIN SONIS
97139 Les Abymes",,,,
1,LA  KRIZALID- LA BELLE CREOLE,SANDOZ Michel,contact@federationlabellecreole.fr,"LA BELLE CREOLE - LA KRIZALID
1 Résidence Raphael Arnassalon Circonvallation
97100 Basse-Terre",Basse-Terre,Grand Sud Caraïbe,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès au sport,Accès aux droits,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Lutte contre les discriminations,,,
"
1,MAISON DES PARENTS ET DE LA FAMILLE,GACE Françoise,yolene.gace@gmail.com,"MPF/ Maison des Parents et de la Famille
ROUTE DE L ECOLE MATERNELLE BOURG
97125 Bouillante", Bouillante,Grand Sud Caraïbe,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès au sport,Accès aux droits,Numérique,Citoyenneté et cohésion sociale,Accès aux soins ,,,
"
1,ANKRAJ,MANUEL Francette,ankrag971@gmail.com,"ANKRAJ
LCR RIVIERE BLANCHE BISDARY
97113 Gourbeyre",Gourbeyre,Grand Sud Caraïbe,Parentalité,"Parentalité,Accès aux loisirs,Accès à la culture,Accès au sport,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Handicap,Lutte contre les discriminations,,,
"
,EVS LE MARQUIS ASSOCIATION DES LOCATAIRES DE LOIC PETIT,,Collectiflocatairesloicpetit@gmail.com,,,,,
1,BOUKAN NYE,,boukannye97113@gmail.com,"BOUKAN NYE
GRANDE SAVANE
97113 Gourbeyre",Gourbeyre,Grand Sud Caraïbes,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux droits,Citoyenneté et cohésion sociale,Insertion professionnelle et accès à l’emploi,Handicap,,,
"
,MAISON DES PARENTS ET DE LA FAMILLE,,yolene.gace@gmail.com,,,,,
1,CENTRE SOCIAL  KAP'ESPWA - MOUN SAINTE MARIE,,mounsaintemarie17@gmail.com,"CENTRE SOCIAL KAP'ESPWA
RUE DE L'APPONTEMENT
97130 Capesterre-Belle-Eau",Capesterre-Belle-Eau,Grand Sud Caraïbe,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès aux droits,Citoyenneté et cohésion sociale,Logement / habitat,,,,,,
"
1,CENTRE SOCIAL BELLE EAU,NEMORIN Pascal,pascal.nemorin@wanadoo.fr,"CENTRE SOCIAL BELLE EAU
Rue de la Republique
97130 Capesterre-Belle-Eau
",Capesterre-Belle-Eau,Grand Sud Caraïbe,Parentalité,"Parentalité,Accès à la culture,Accès au sport,Accès aux droits,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Accès aux soins ,Mobilité / transport,Handicap,Lutte contre les discriminations,
"
1,EVS BOKANTAJ ou LE COLECTIF D'OKTAV,,secretariatcollectifoktav@gmail.com,"EVS BOKANTAJ
39 RUE DES COSMONAUTES
97130 Capesterre-Belle-Eau",Capesterre-Belle-Eau,Grand Sud Caraïbe,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Accès aux droits,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Insertion professionnelle et accès à l’emploi,Lutte contre les discriminations,
"
1,EVS LE MARQUIS ou ASSOCIATION DES LOCATAIRES DE LOIC PETIT,SIARRAS Véronique,siarras.veronique@hotmail.fr,"EVS LE MARQUIS ASSOCIATION DES LOCATAIRES DE LOIC PETIT
1368 ROUTE DE MARQUISAT
97130 Capesterre-Belle-Eau",Capesterre-Belle-Eau,Grand Sud Caraïbe,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Accès aux droits,Logement / habitat,,,,,
"
,LAKOU BOSKO,,art.lakoubosko@gmail.com,"LAKOU BOSKO
Rue de la piscine - Baimbridge
97139 Les Abymes",,,,
1,LE CARBET,NEMORIN Pascal,"pascal.nemorin@wanadoo.fr
","LE CARBET
rue Joliot-Curie - Cité des Sources 2 -
97130 Capesterre-Belle-Eau
",Capesterre-Belle-Eau,Grand Sud Caraïbe,Parentalité,"Education,Accès aux loisirs,Accès à la culture,Accès au sport,Accès aux droits,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Handicap,Lutte contre les discriminations,,,
"
ls scripts
